,大中型工业企业专利申请数,规模以上工业中外合作经营企业专利申请数,规模以上工业中外合资经营企业专利申请数,规模以上工业企业专利申请数,规模以上工业其他企业专利申请数,规模以上工业内资企业专利申请数,规模以上工业国有企业专利申请数,规模以上工业国有独资公司专利申请数,规模以上工业国有联营企业专利申请数,规模以上工业外商投资企业专利申请数,规模以上工业外商投资股份有限公司专利申请数,规模以上工业外资企业专利申请数,规模以上工业有限责任公司专利申请数,规模以上工业港、澳、台商合作经营企业专利申请数,规模以上工业港、澳、台商合资经营企业专利申请数,规模以上工业港、澳、台商投资企业专利申请数,规模以上工业港、澳、台商投资股份有限公司专利申请数,规模以上工业港、澳、台商独资经营企业专利申请数,规模以上工业私营企业专利申请数,规模以上工业联营企业专利申请数,规模以上工业股份合作企业专利申请数,规模以上工业股份有限公司专利申请数,规模以上工业集体企业专利申请数
1978年,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,
1996年,4936.0,,,,,,,,,,,,,,,,,,,,,,
1997年,5896.0,,,,,,,,,,,,,,,,,,,,,,
1998年,6317.0,,,,,,,,,,,,,,,,,,,,,,
1999年,7884.0,,,,,,,,,,,,,,,,,,,,,,
2000年,11819.0,,,,,,,,,,,,,,,,,,,,,,
2001年,15339.0,,,,,,,,,,,,,,,,,,,,,,
2002年,21297.0,,,,,,,,,,,,,,,,,,,,,,
2003年,31382.0,,,,,,,,,,,,,,,,,,,,,,
2004年,42318.0,,,64569.0,,,,,,,,,,,,,,,,,,,
2005年,55271.0,,,,,,,,,,,,,,,,,,,,,,
2006年,69009.0,,,,,,,,,,,,,,,,,,,,,,
2007年,95905.0,,,,,,,,,,,,,,,,,,,,,,
2008年,122076.0,,,173573.0,,,,,,,,,,,,,,,,,,,
2009年,166762.0,,,265808.0,,,,,,,,,,,,,,,,,,,
2010年,198890.0,,,,,,,,,,,,,,,,,,,,,,
2011年,265612.0,621.0,24434.0,386075.0,3030.0,291769.0,20746.0,11100.0,135.0,52711.0,2547.0,25023.0,86208.0,752.0,18428.0,41595.0,2697.0,19667.0,111705.0,243.0,1154.0,66059.0,2624.0
2012年,327116.0,865.0,31858.0,489945.0,3655.0,379211.0,30790.0,13942.0,224.0,59300.0,2233.0,24283.0,117620.0,785.0,21480.0,51434.0,3065.0,25963.0,144168.0,415.0,1397.0,78416.0,2750.0
2013年,359791.0,956.0,33604.0,560918.0,918.0,437396.0,23124.0,24965.0,335.0,66367.0,2552.0,29203.0,147026.0,955.0,25310.0,57155.0,3363.0,27492.0,174650.0,358.0,738.0,88111.0,2471.0
2014年,393480.0,1257.0,35863.0,630561.0,1378.0,502172.0,23324.0,27598.0,407.0,71814.0,2788.0,31825.0,164224.0,1113.0,22434.0,56575.0,3595.0,29390.0,202849.0,426.0,721.0,106179.0,3071.0
