,大中型工业企业发明专利申请数,规模以上工业中外合作经营企业发明专利申请数,规模以上工业中外合资经营企业发明专利申请数,规模以上工业企业发明专利申请数,规模以上工业其他企业发明专利申请数,规模以上工业内资企业发明专利申请数,规模以上工业国有企业发明专利申请数,规模以上工业国有独资公司发明专利申请数,规模以上工业国有联营企业发明专利申请数,规模以上工业外商投资企业发明专利申请数,规模以上工业外商投资股份有限公司发明专利申请数,规模以上工业外资企业发明专利申请数,规模以上工业有限责任公司发明专利申请数,规模以上工业港、澳、台商合作经营企业发明专利申请数,规模以上工业港、澳、台商合资经营企业发明专利申请数,规模以上工业港、澳、台商投资企业发明专利申请数,规模以上工业港、澳、台商投资股份有限公司发明专利申请数,规模以上工业港、澳、台商独资经营企业发明专利申请数,规模以上工业私营企业发明专利申请数,规模以上工业联营企业发明专利申请数,规模以上工业股份合作企业发明专利申请数,规模以上工业股份有限公司发明专利申请数,规模以上工业集体企业发明专利申请数
1978年,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,
2000年,2792.0,,,,,,,,,,,,,,,,,,,,,,
2001年,3625.0,,,,,,,,,,,,,,,,,,,,,,
2002年,5770.0,,,,,,,,,,,,,,,,,,,,,,
2003年,9395.0,,,,,,,,,,,,,,,,,,,,,,
2004年,13908.0,,,20456.0,,,,,,,,,,,,,,,,,,,
2005年,18292.0,,,,,,,,,,,,,,,,,,,,,,
2006年,25685.0,,,,,,,,,,,,,,,,,,,,,,
2007年,36074.0,,,,,,,,,,,,,,,,,,,,,,
2008年,43773.0,,,59254.0,,,,,,,,,,,,,,,,,,,
2009年,63011.0,,,92450.0,,,,,,,,,,,,,,,,,,,
2010年,72523.0,,,,,,,,,,,,,,,,,,,,,,
2011年,97822.0,202.0,8497.0,134843.0,846.0,100277.0,7318.0,4293.0,34.0,22436.0,956.0,12753.0,32775.0,123.0,4589.0,12130.0,760.0,6653.0,29210.0,76.0,348.0,28656.0,1048.0
2012年,124695.0,288.0,11256.0,176167.0,1194.0,135421.0,11248.0,5412.0,100.0,23320.0,1061.0,10696.0,48843.0,175.0,5729.0,17426.0,1085.0,10396.0,39626.0,175.0,451.0,33008.0,876.0
2013年,139723.0,458.0,13112.0,205146.0,480.0,158978.0,9319.0,9761.0,201.0,28044.0,1374.0,13076.0,59995.0,277.0,7023.0,18124.0,1199.0,9618.0,50653.0,209.0,215.0,36973.0,1134.0
2014年,158680.0,459.0,14864.0,239925.0,936.0,188392.0,10423.0,11854.0,217.0,30872.0,1401.0,14128.0,68050.0,226.0,7118.0,20661.0,1516.0,11781.0,62185.0,227.0,219.0,44747.0,1605.0
