,大中型工业企业新产品项目数,规模以上工业中外合作经营企业新产品项目数,规模以上工业中外合资经营企业新产品项目数,规模以上工业企业新产品项目数,规模以上工业其他企业新产品项目数,规模以上工业内资企业新产品项目数,规模以上工业国有企业新产品项目数,规模以上工业国有独资公司新产品项目数,规模以上工业国有联营企业新产品项目数,规模以上工业外商投资企业新产品项目数,规模以上工业外商投资股份有限公司新产品项目数,规模以上工业外资企业新产品项目数,规模以上工业有限责任公司新产品项目数,规模以上工业港、澳、台商合作经营企业新产品项目数,规模以上工业港、澳、台商合资经营企业新产品项目数,规模以上工业港、澳、台商投资企业新产品项目数,规模以上工业港、澳、台商投资股份有限公司新产品项目数,规模以上工业港、澳、台商独资经营企业新产品项目数,规模以上工业私营企业新产品项目数,规模以上工业联营企业新产品项目数,规模以上工业股份合作企业新产品项目数,规模以上工业股份有限公司新产品项目数,规模以上工业集体企业新产品项目数
1978年,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,
1996年,57158.0,,,,,,,,,,,,,,,,,,,,,,
1997年,51405.0,,,,,,,,,,,,,,,,,,,,,,
1998年,51763.0,,,,,,,,,,,,,,,,,,,,,,
1999年,52292.0,,,,,,,,,,,,,,,,,,,,,,
2000年,55953.0,,,,,,,,,,,,,,,,,,,,,,
2001年,57418.0,,,,,,,,,,,,,,,,,,,,,,
2002年,59788.0,,,,,,,,,,,,,,,,,,,,,,
2003年,68633.0,,,,,,,,,,,,,,,,,,,,,,
2004年,46575.0,,,76176.0,,,,,,,,,,,,,,,,,,,
2005年,81033.0,,,,,,,,,,,,,,,,,,,,,,
2006年,100760.0,,,,,,,,,,,,,,,,,,,,,,
2007年,112369.0,,,,,,,,,,,,,,,,,,,,,,
2008年,121358.0,,,184859.0,,,,,,,,,,,,,,,,,,,
2009年,152770.0,,,237754.0,,,,,,,,,,,,,,,,,,,
2010年,159637.0,,,,,,,,,,,,,,,,,,,,,,
2011年,176044.0,678.0,18581.0,266232.0,1783.0,205080.0,18350.0,13069.0,108.0,35634.0,1961.0,14350.0,76702.0,417.0,11947.0,25518.0,1300.0,11703.0,67557.0,237.0,1013.0,38051.0,1387.0
2012年,210730.0,740.0,23373.0,323448.0,2228.0,247015.0,20468.0,12941.0,117.0,45486.0,2161.0,19086.0,90011.0,824.0,14098.0,30947.0,1919.0,13781.0,83612.0,258.0,2862.0,45631.0,1945.0
2013年,222508.0,887.0,23357.0,358287.0,360.0,274397.0,10696.0,16729.0,91.0,49643.0,2091.0,23202.0,108132.0,810.0,15460.0,34247.0,1896.0,16011.0,103038.0,108.0,593.0,49300.0,2170.0
2014年,225206.0,854.0,24530.0,375863.0,317.0,295229.0,9074.0,16439.0,86.0,47453.0,1631.0,20345.0,112979.0,515.0,15287.0,33181.0,1963.0,15383.0,119467.0,103.0,548.0,50561.0,2180.0
