,中成药制造高技术产业有效发明专利数(大中型工业企业口径),仪器仪表制造业高技术产业有效发明专利数(大中型工业企业口径),其他电子设备制造高技术产业有效发明专利数(大中型工业企业口径),化学药品制造高技术产业有效发明专利数(大中型工业企业口径),医疗仪器设备及器械制造业高技术产业有效发明专利数(大中型工业企业口径),医疗器械及仪器仪表制造业高技术产业有效发明专利数(大中型工业企业口径),医药制造业高技术产业有效发明专利数(大中型工业企业口径),家用视听设备制造业高技术产业有效发明专利数(大中型工业企业口径),广播电视设备制造业高技术产业有效发明专利数(大中型工业企业口径),生物、生化制品的制造高技术产业有效发明专利数(大中型工业企业口径),电子元件制造业高技术产业有效发明专利数(大中型工业企业口径),电子及通信设备制造业高技术产业有效发明专利数(大中型工业企业口径),电子器件制造业高技术产业有效发明专利数(大中型工业企业口径),电子计算机及办公设备制造业高技术产业有效发明专利数(大中型工业企业口径),电子计算机外部设备制造业高技术产业有效发明专利数(大中型工业企业口径),电子计算机整机制造业高技术产业有效发明专利数(大中型工业企业口径),航空航天器制造业高技术产业有效发明专利数(大中型工业企业口径),通信设备制造业高技术产业有效发明专利数(大中型工业企业口径),雷达及配套设备制造业高技术产业有效发明专利数(大中型工业企业口径),高技术产业有效发明专利数(大中型工业企业口径)
1978年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410
1996年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1443
2001年,87,92,15,51,105,197,308,138,8,24,43,828,36,115,31,80,105,578,10,0
2002年,116,89,18,158,46,135,485,97,1,43,105,1068,68,38,15,22,126,766,13,0
2003年,134,336,6,89,49,385,459,197,8,26,176,2100,313,271,163,106,141,1394,6,3356
2004年,180,282,0,246,114,396,902,239,7,31,384,2453,354,711,199,391,73,1442,27,4535
2005年,497,501,11,495,90,591,1134,371,13,49,369,4268,540,473,323,146,192,2959,5,6658
2006年,1042,765,36,717,202,967,1965,729,14,119,528,3807,783,1174,974,180,228,1713,4,8141
2007年,1157,712,119,943,180,892,2482,946,135,276,673,6532,1122,3210,1169,1961,270,3492,45,13386
2008年,1388,1056,283,1300,527,1583,3170,1941,158,293,821,15418,1911,3344,1692,1466,400,10222,82,23915
2009年,1677,1430,388,1762,434,1864,3911,1165,149,294,1176,21298,3607,4192,881,2738,565,14770,43,31830
2010年,2270,1907,528,2598,658,2565,5672,1538,278,402,2840,33677,4451,7552,1818,4641,700,23979,63,50166
2011年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67428
2012年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97878
2013年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115884
2014年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147927
