,中成药制造高技术产业发明专利申请数(大中型工业企业口径),仪器仪表制造业高技术产业发明专利申请数(大中型工业企业口径),其他电子设备制造高技术产业发明专利申请数(大中型工业企业口径),化学药品制造高技术产业发明专利申请数(大中型工业企业口径),医疗仪器设备及器械制造业高技术产业发明专利申请数(大中型工业企业口径),医疗器械及仪器仪表制造业高技术产业发明专利申请数(大中型工业企业口径),医药制造业高技术产业发明专利申请数(大中型工业企业口径),家用视听设备制造业高技术产业发明专利申请数(大中型工业企业口径),广播电视设备制造业高技术产业发明专利申请数(大中型工业企业口径),生物、生化制品的制造高技术产业发明专利申请数(大中型工业企业口径),电子元件制造业高技术产业发明专利申请数(大中型工业企业口径),电子及通信设备制造业高技术产业发明专利申请数(大中型工业企业口径),电子器件制造业高技术产业发明专利申请数(大中型工业企业口径),电子计算机及办公设备制造业高技术产业发明专利申请数(大中型工业企业口径),电子计算机外部设备制造业高技术产业发明专利申请数(大中型工业企业口径),电子计算机整机制造业高技术产业发明专利申请数(大中型工业企业口径),航空航天器制造业高技术产业发明专利申请数(大中型工业企业口径),通信设备制造业高技术产业发明专利申请数(大中型工业企业口径),雷达及配套设备制造业高技术产业发明专利申请数(大中型工业企业口径),高技术产业发明专利申请数(大中型工业企业口径)
1978年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001年,42,58,11,56,9,67,152,65,0,7,20,902,25,78,11,67,24,775,6,0
2002年,67,103,18,74,7,110,317,145,1,24,19,1457,66,304,19,277,49,1208,0,0
2003年,182,163,23,96,21,184,757,301,0,54,64,2305,407,485,94,389,56,1507,3,3787
2004年,290,92,12,153,22,114,1018,827,10,43,129,3994,542,525,126,289,43,2473,1,5694
2005年,920,99,22,583,99,198,1659,719,14,135,219,6796,524,876,372,498,106,5298,0,9635
2006年,770,264,32,570,202,466,1475,1119,51,92,304,11163,1174,1553,720,821,225,8482,1,14882
2007年,619,397,171,666,524,921,1483,745,194,161,413,17820,1770,1649,575,542,318,14505,22,22191
2008年,1260,705,204,899,466,1171,2538,1100,164,200,674,16988,1545,1967,749,742,467,13283,18,23131
2009年,0,0,0,0,0,1580,2938,0,0,0,0,22069,0,4506,0,0,622,0,0,31715
2010年,1369,1282,219,1763,547,1829,3705,1545,962,280,1667,21753,3919,7221,1443,4821,863,13343,98,35371
2011年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
