,中成药制造高技术产业新产品开发经费(大中型工业企业口径),仪器仪表制造业高技术产业新产品开发经费(大中型工业企业口径),其他电子设备制造高技术产业新产品开发经费(大中型工业企业口径),化学药品制造高技术产业新产品开发经费(大中型工业企业口径),医疗仪器设备及器械制造业高技术产业新产品开发经费(大中型工业企业口径),医疗器械及仪器仪表制造业高技术产业新产品开发经费(大中型工业企业口径),医药制造业高技术产业新产品开发经费(大中型工业企业口径),家用视听设备制造业高技术产业新产品开发经费(大中型工业企业口径),广播电视设备制造业高技术产业新产品开发经费(大中型工业企业口径),生物、生化制品的制造高技术产业新产品开发经费(大中型工业企业口径),电子元件制造业高技术产业新产品开发经费(大中型工业企业口径),电子及通信设备制造业高技术产业新产品开发经费(大中型工业企业口径),电子器件制造业高技术产业新产品开发经费(大中型工业企业口径),电子计算机及办公设备制造业高技术产业新产品开发经费(大中型工业企业口径),电子计算机外部设备制造业高技术产业新产品开发经费(大中型工业企业口径),电子计算机整机制造业高技术产业新产品开发经费(大中型工业企业口径),航空航天器制造业高技术产业新产品开发经费(大中型工业企业口径),通信设备制造业高技术产业新产品开发经费(大中型工业企业口径),雷达及配套设备制造业高技术产业新产品开发经费(大中型工业企业口径),高技术产业新产品开发经费(大中型工业企业口径)
1978年,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,32.28067
1996年,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,117.79403
2001年,0.82648,0.58743,0.10138,1.30622,0.05386,0.64129,3.59848,4.3655,0.0015,0.29275,1.19796,20.16716,2.34928,1.95554,0.8664,1.07377,1.78988,12.07251,0.07903,
2002年,6.6704,5.0913,1.571,4.7527,1.0552,6.1465,18.9533,30.0593,0.5492,1.7745,7.8756,101.0877,11.5283,23.3615,6.5266,15.6914,195.0704,48.0263,1.478,
2003年,6.58454,6.7507,2.20856,6.14171,1.3906,8.1413,22.86162,26.859,0.65549,1.59463,12.58466,118.75835,14.08543,37.93913,7.01618,29.34771,19.88383,60.48647,1.87874,207.5842
2004年,9.8525,6.6281,0.699,7.5644,1.4124,8.0405,26.497,37.1674,1.7297,1.5178,14.8326,144.8101,24.299,56.5736,7.6207,44.3346,22.899,64.3312,1.7511,258.8201
2005年,9.70475,14.53025,2.72936,30.04819,3.31423,17.84448,44.7725,58.98399,2.74376,2.83729,31.55402,261.13261,35.58489,61.77876,30.77093,27.10335,30.16323,126.78792,2.74867,415.69158
2006年,15.13696,19.13521,3.68801,35.57848,5.05681,24.19202,55.75759,59.33263,4.52451,3.33453,56.9796,312.24493,46.59308,82.80655,35.68109,44.34812,34.95234,137.53784,3.58926,509.95343
2007年,17.65876,31.34075,5.92761,47.04758,8.70859,40.04934,73.94351,70.87473,3.97575,5.16277,76.55965,392.87258,63.02997,101.33636,44.06032,42.11871,43.8266,164.51179,7.99308,652.02839
2008年,16.8829,38.56552,14.53938,56.38882,11.42854,49.99406,87.19137,76.53668,5.99384,8.51503,75.58226,486.56498,81.56997,125.208,57.46341,53.77652,49.4423,228.09793,4.24492,798.4007
2009年,21.0,52.7,12.78,68.04,17.17,69.87,107.34,72.64,6.04,10.81,78.08,544.25,87.83,127.15,57.39,51.07,76.46,279.32,7.56,925.07433
2010年,22.59,64.35,15.21,87.81,20.61,84.96,131.4,75.19,6.73,14.01,104.94,539.27,129.7,147.97,71.19,56.33,103.34,199.44,8.06,1006.93846
2011年,,,,,,,,,,,,,,,,,,,,1528.0302
2012年,,,,,,,,,,,,,,,,,,,,1827.4769
2013年,,,,,,,,,,,,,,,,,,,,2069.5
2014年,,,,,,,,,,,,,,,,,,,,2350.6
