,中成药制造高技术产业研究与试验发展项目数(大中型工业企业口径),仪器仪表制造业高技术产业研究与试验发展项目数(大中型工业企业口径),其他电子设备制造高技术产业研究与试验发展项目数(大中型工业企业口径),化学药品制造高技术产业研究与试验发展项目数(大中型工业企业口径),医疗仪器设备及器械制造业高技术产业研究与试验发展项目数(大中型工业企业口径),医疗器械及仪器仪表制造业高技术产业研究与试验发展项目数(大中型工业企业口径),医药制造业高技术产业研究与试验发展项目数(大中型工业企业口径),家用视听设备制造业高技术产业研究与试验发展项目数(大中型工业企业口径),广播电视设备制造业高技术产业研究与试验发展项目数(大中型工业企业口径),生物、生化制品的制造高技术产业研究与试验发展项目数(大中型工业企业口径),电子元件制造业高技术产业研究与试验发展项目数(大中型工业企业口径),电子及通信设备制造业高技术产业研究与试验发展项目数(大中型工业企业口径),电子器件制造业高技术产业研究与试验发展项目数(大中型工业企业口径),电子计算机及办公设备制造业高技术产业研究与试验发展项目数(大中型工业企业口径),电子计算机外部设备制造业高技术产业研究与试验发展项目数(大中型工业企业口径),电子计算机整机制造业高技术产业研究与试验发展项目数(大中型工业企业口径),航空航天器制造业高技术产业研究与试验发展项目数(大中型工业企业口径),通信设备制造业高技术产业研究与试验发展项目数(大中型工业企业口径),雷达及配套设备制造业高技术产业研究与试验发展项目数(大中型工业企业口径),高技术产业研究与试验发展项目数(大中型工业企业口径)
1978年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009年,1949,2932,416,5273,541,3473,8272,2813,167,577,3431,16554,3434,1652,868,456,1863,5769,524,31814
2010年,1944,2965,679,5597,487,3452,8754,2788,157,709,4504,17290,3558,5983,1875,3868,2039,5062,542,37518
2011年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
