,中成药制造高技术产业研究与试验发展机构数,仪器仪表制造业高技术产业研究与试验发展机构数,其他电子设备制造高技术产业研究与试验发展机构数,化学药品制造高技术产业研究与试验发展机构数,医疗仪器设备及器械制造业高技术产业研究与试验发展机构数,医疗器械及仪器仪表制造业高技术产业研究与试验发展机构数,医药制造业高技术产业研究与试验发展机构数,家用视听设备制造业高技术产业研究与试验发展机构数,广播电视设备制造业高技术产业研究与试验发展机构数,生物、生化制品的制造高技术产业研究与试验发展机构数,电子元件制造业高技术产业研究与试验发展机构数,电子及通信设备制造业高技术产业研究与试验发展机构数,电子器件制造业高技术产业研究与试验发展机构数,电子计算机及办公设备制造业高技术产业研究与试验发展机构数,电子计算机外部设备制造业高技术产业研究与试验发展机构数,电子计算机整机制造业高技术产业研究与试验发展机构数,航空航天器制造业高技术产业研究与试验发展机构数,通信设备制造业高技术产业研究与试验发展机构数,雷达及配套设备制造业高技术产业研究与试验发展机构数,高技术产业研究与试验发展机构数
1978年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011年,474,927,182,880,224,1151,1856,199,100,257,1042,2507,537,307,209,61,120,417,30,5941
2012年,618,1537,319,1142,391,1928,2591,291,187,398,1557,4507,1075,511,147,71,171,614,53,9708
2013年,592,1418,322,1127,379,1797,2529,271,202,396,1449,4079,884,419,114,57,148,481,40,8972
2014年,599,1548,350,1092,436,1984,2572,273,232,437,1622,4611,1063,453,109,54,165,536,47,9785
