,中成药制造高技术产业研究与试验发展项目数,仪器仪表制造业高技术产业研究与试验发展项目数,其他电子设备制造高技术产业研究与试验发展项目数,化学药品制造高技术产业研究与试验发展项目数,医疗仪器设备及器械制造业高技术产业研究与试验发展项目数,医疗器械及仪器仪表制造业高技术产业研究与试验发展项目数,医药制造业高技术产业研究与试验发展项目数,家用视听设备制造业高技术产业研究与试验发展项目数,广播电视设备制造业高技术产业研究与试验发展项目数,生物、生化制品的制造高技术产业研究与试验发展项目数,电子元件制造业高技术产业研究与试验发展项目数,电子及通信设备制造业高技术产业研究与试验发展项目数,电子器件制造业高技术产业研究与试验发展项目数,电子计算机及办公设备制造业高技术产业研究与试验发展项目数,电子计算机外部设备制造业高技术产业研究与试验发展项目数,电子计算机整机制造业高技术产业研究与试验发展项目数,航空航天器制造业高技术产业研究与试验发展项目数,通信设备制造业高技术产业研究与试验发展项目数,雷达及配套设备制造业高技术产业研究与试验发展项目数,高技术产业研究与试验发展项目数
1978年,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,
2011年,3335.0,7122.0,1281.0,8525.0,1612.0,8734.0,15022.0,3779.0,513.0,1765.0,6658.0,23755.0,5530.0,3086.0,1907.0,890.0,3291.0,5416.0,578.0,53888.0
2012年,3923.0,8624.0,1424.0,10477.0,2182.0,10806.0,18372.0,4752.0,1022.0,2292.0,9283.0,31566.0,6273.0,3368.0,781.0,991.0,3809.0,5876.0,536.0,67921.0
2013年,4467.0,9727.0,1886.0,15805.0,2529.0,12256.0,25425.0,5562.0,1466.0,2905.0,9369.0,36205.0,8433.0,3276.0,971.0,745.0,3698.0,5874.0,927.0,80860.0
2014年,4979.0,10217.0,2487.0,12557.0,2710.0,12927.0,23791.0,5053.0,1451.0,3792.0,9745.0,35345.0,7100.0,3841.0,877.0,817.0,3821.0,5701.0,820.0,79725.0
