,初级产品出口额,初级产品出进口贸易差额,初级产品占出口贸易总额比重,初级产品占进出口贸易总额比重,初级产品占进口贸易总额比重,初级产品进出口贸易额,初级产品进口额,商品出口贸易总额,商品出进口贸易差额,商品进出口贸易总额,商品进口贸易总额,工业制成品出口额,工业制成品出进口贸易差额,工业制成品占出口贸易总额比重,工业制成品占进出口贸易总额比重,工业制成品占进口贸易总额比重,工业制成品进出口贸易额,工业制成品进口额,高技术产品出口贸易总额,高技术产品出进口贸易差额,高技术产品占商品出口贸易总额比重,高技术产品占商品进出口贸易总额比重,高技术产品占商品进口贸易总额比重,高技术产品进出口贸易总额,高技术产品进口贸易总额
1978年,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,214.86,-29.24,14.4,16.3,18.5,458.97,244.11,1487.8,166.92,2809.0,1320.78,1272.83,196.16,85.6,83.6,81.5,2349.51,1076.68,100.91,-117.37,6.8,11.4,16.5,319.18,218.27
1996年,,,,,,,,,,,,,,,,,,,126.63,,,,,351.32,224.69
1997年,,,,,,,,,,,,,,,,,,,163.1,,,,,402.03,238.93
1998年,,,,,,,,,,,,,,,,,,,202.51,,,,,494.52,292.01
1999年,,,,,,,,,,,,,,,,,,,247.04,,,,,623.02,375.98
2000年,254.6,-212.8,10.2166934189,15.2227540113,20.7650273224,722.0,467.4,2492.0,241.1,4742.9,2250.9,2237.4,453.9,89.7833065811,84.7772459887,79.2349726776,4020.9,1783.5,370.43,-154.64,14.8647672552,18.8808534863,23.327113599,895.5,525.07
2001年,,,,,,,,,,,,,,,,,,,464.52,,,,,1105.59,641.07
2002年,,,,,,,,,,,,,,,,,,,679.0,,,,,1507.0,828.0
2003年,,,,,,,,,,,,,,,,,,,1103.0,,,,,2296.0,1193.0
2004年,405.5,-768.0,6.83385886354,13.6691282932,20.8933371095,1577.0,1173.0,5933.69,319.46,11546.0,5614.23,5528.0,1087.0,93.1629390818,86.3272346882,79.1025661578,9969.0,4441.0,1654.0,41.0,27.8747288787,28.2908090808,28.7305650107,3267.0,1613.0
2005年,490.4,-986.7,6.4361178555,13.8370220337,22.3819986363,1967.5,1477.1,7619.5,1020.0,14219.1,6599.5,7129.2,2006.8,93.5651945666,86.1629779663,77.6180013637,12251.6,5122.4,2182.48,205.4,28.6433493011,29.2543128609,29.9580271233,4159.7,1977.08
2006年,529.2,-1342.1,5.46163849155,13.6361054306,23.6436459202,2400.5,1871.3,9689.4,1774.8,17604.0,7914.6,9160.2,3116.9,94.5383615085,86.3638945694,76.3563540798,15203.5,6043.3,2814.5,341.5,29.0472062254,30.0357873211,31.2460516008,5287.5,2473.0
2007年,615.0,-1815.0,5.0,14.0,25.4,3045.0,2430.0,12180.15,2621.96,21738.33,9558.18,11565.0,4437.0,95.0,86.0,74.6,18693.0,7128.0,3478.0,608.0,28.6,29.2,30.0,6348.0,2870.0
2008年,779.6,-2844.3,5.4,17.18,32.0,4403.5,3623.9,14306.93,2981.26,25632.6,11325.67,13527.4,5825.7,94.55,82.82,68.0,21229.1,7701.7,4156.06,737.86,29.0,29.5,30.18,7574.25,3418.2
