,民族自治地方图书出版量,民族自治地方报纸出版量,民族自治地方杂志出版量
1978年,,,
1979年,,,
1980年,,,
1981年,,,
1982年,,,
1983年,,,
1984年,,,
1985年,,,
1986年,,,
1987年,,,
1988年,,,
1989年,,,
1990年,30166.3,79119.6,7866.4
1991年,,,
1992年,,,
1993年,,,
1994年,,,
1995年,42275.0,94984.8,7881.0
1996年,,,
1997年,,,
1998年,,,
1999年,,,
2000年,42309.5,123276.858,8332.4
2001年,,,
2002年,,,
2003年,,,
2004年,,,
2005年,41957.6,169518.4,10279.5
2006年,45838.7,143372.3,10223.1
2007年,45627.4,177110.03,7729.7824
2008年,48929.1,159786.3,7256.74
2009年,47689.92,165394.78,7366.14
2010年,43098.92,174847.764,8276.19
2011年,49303.2891,171832.5132,11088.25
2012年,54793.4648,187017.874,12118.5692
2013年,64113.7223,191759.99,14582.7186
2014年,,,
