,民族自治地方国际游客,民族自治地方旅游外汇收入
1978年,0.0,0.0
1979年,0.0,0.0
1980年,0.0,0.0
1981年,0.0,0.0
1982年,0.0,0.0
1983年,0.0,0.0
1984年,0.0,0.0
1985年,0.0,0.0
1986年,0.0,0.0
1987年,0.0,0.0
1988年,0.0,0.0
1989年,0.0,0.0
1990年,0.0,0.0
1991年,0.0,0.0
1992年,0.0,0.0
1993年,0.0,0.0
1994年,0.0,0.0
1995年,0.0,0.0
1996年,0.0,0.0
1997年,0.0,0.0
1998年,0.0,0.0
1999年,0.0,0.0
2000年,269.0,7.54940745
2001年,0.0,0.0
2002年,0.0,0.0
2003年,0.0,0.0
2004年,0.0,0.0
2005年,467.0,12.8
2006年,599.9,15.8
2007年,765.075,21.750132
2008年,899.0881,18.186496
2009年,751.0,26.78044152
2010年,820.0,30.0
2011年,867.0,36.3732307
2012年,1226.489257,45.436484
2013年,1435.60451,57.98778025
2014年,0.0,0.0
