,工业法人单位数,第一产业法人单位数,第三产业法人单位数,第二产业法人单位数
1978年,0,0,0,0
1979年,0,0,0,0
1980年,0,0,0,0
1981年,0,0,0,0
1982年,0,0,0,0
1983年,0,0,0,0
1984年,0,0,0,0
1985年,0,0,0,0
1986年,0,0,0,0
1987年,0,0,0,0
1988年,0,0,0,0
1989年,0,0,0,0
1990年,0,0,0,0
1991年,0,0,0,0
1992年,0,0,0,0
1993年,0,0,0,0
1994年,0,0,0,0
1995年,0,0,0,0
1996年,0,0,0,0
1997年,0,0,0,0
1998年,0,0,0,0
1999年,0,0,0,0
2000年,0,0,0,0
2001年,0,0,0,0
2002年,0,0,0,0
2003年,0,0,0,0
2004年,0,0,0,0
2005年,0,0,0,0
2006年,0,0,0,0
2007年,0,0,0,0
2008年,0,0,0,0
2009年,0,0,0,0
2010年,2266586,242429,5943341,2568818
2011年,2412457,321086,6514160,2758483
2012年,2558302,440853,7225983,2949694
2013年,2395828,1815,8080449,2743347
2014年,0,773414,9683872,3244154
