,一次能源原油生产量,中间消费(用于加工转换),交通运输、仓储和邮政业原油消费总量,供热中间消费原油,其他行业原油消费总量,农、林、牧、渔、水利业原油消费总量,出口原油量(-),原油平衡差额,原油终端消费量,原油能源消费总量,发电中间消费原油,可供本地区消费的原油能源量,工业原油消费总量,工业终端原油消费量,年初年末原油库存差额,建筑业原油消费总量,批发、零售业和住宿、餐饮业原油消费总量,油田原油损失量,炼油中间消费原油,生活消费原油总量,进口原油量
1978年,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,
2000年,16300.0,20404.3,175.02,14.0,1.4,,1030.6,150.98,636.8,21232.01,85.0,21382.99,21052.07,612.34,-912.94,3.3,0.18,190.91,20305.3,,7026.53
2001年,16395.87,20500.72,169.81,12.32,1.2,,755.0,194.42,654.12,21342.74,81.6,21537.16,21168.21,630.82,-129.71,3.37,0.15,187.9,20406.8,,6026.0
2002年,16700.0,21671.31,175.94,12.76,1.29,,766.46,224.94,684.26,22544.05,78.33,22768.99,22362.5,663.0,-105.19,4.2,0.12,188.48,21580.22,,6940.64
2003年,16959.98,23949.0,148.31,11.01,1.2,,813.33,265.09,812.22,24922.0,93.99,25187.09,24768.4019828,793.0,-61.57,4.0,0.09,160.78,23844.0,,9102.01
2004年,17587.32,27755.56,123.82,0.25,,,549.16,263.0,844.94,28749.31,18.04,29012.31,28625.49,844.94,-297.85,,,148.81,27737.27,,12272.0
2005年,18135.29,29062.12,126.87,0.33,,,806.68,2.93,870.36,30086.24,21.28,30089.17,29959.3698,870.36,78.82,,,153.76,29040.51,,12681.74
2006年,18476.57,31069.75,163.66,0.84,,,633.72,3.98959999999,977.1,32245.1989894,22.91,32249.19,32081.5389894,977.1,-111.14,,,198.3504,31046.0,,14517.48
2007年,18631.82,32849.1276,163.66,0.59,,,388.37,3.46199999999,984.12,34031.598,15.92,34035.06,33867.935635,984.12,-524.4,,,198.3504,32832.6176,,16316.01
2008年,19043.96,34105.1417722,165.66,0.95,,,423.75,0.363027840004,1192.75,35498.2421722,8.87,35498.6052,35332.5793286,1192.75,-1010.1,,,200.3504,34095.3217722,,17888.52
2009年,18949.0,37115.7707317,153.42,1.99,,,507.25,1.9003819456,826.16,38128.5949541,4.38,38130.495336,37975.1682296,826.16,-676.544664,,,186.6642224,37109.4007317,,20365.29
2010年,20301.4,41876.43,158.0,3.28,,,303.0,2.08,806.12,42874.55,3.71,42876.63,42716.5506082,806.12,-889.95,,,192.0,41869.44,,23768.18
2011年,20287.55,43266.1,105.4,4.6,,,251.4,-4.84,522.74,43965.84,11.3,43961.0,43860.4,522.74,-1453.0,,,177.0,43250.2,,25377.88
2012年,20747.8,45945.73,119.4,1.36,,,243.21,5.81999999999,555.49,46678.92,10.86,46684.74,46559.5206082,555.49,-922.56,,,177.7,45933.51,,27102.71
2013年,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,
