,中间消费(用于加工转换),交通运输、仓储和邮政业燃料油消费总量,供热中间消费燃料油,其他行业燃料油消费总量,农、林、牧、渔、水利业燃料油消费总量,制气中间消费燃料油,发电中间消费燃料油,工业燃料油消费总量,工业终端燃料油消费量,建筑业燃料油消费总量,批发、零售业和住宿、餐饮业燃料油消费总量,炼油再投入量中间消费燃料油,燃料油出口量,燃料油可供量,燃料油平衡差额,燃料油年初年末库存差额,燃料油损失量,燃料油生产量,燃料油终端消费量,燃料油能源消费总量,燃料油进口量,生活消费燃料油总量
1978年,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,
2000年,1131.33,850.0,291.23,19.0,0.4,25.88,814.22,2975.08,1843.72,16.71,11.59,,57.9,3836.65,-36.1,136.57,,2053.67,2741.42,3872.75,1704.31,
2001年,1160.92,855.0,299.62,17.02,0.42,22.76,838.54,2949.32,1788.4,16.18,12.28,,84.87,3836.86,-13.36,8.66,,1864.39,2689.3,3850.22,2048.68,
2002年,1198.23,852.1,266.66,19.1,0.41,18.91,912.66,2970.86,1772.63,19.1,12.3,,104.91,3702.8,-171.07,47.04,,1845.5,2675.64,3873.87,1915.17,
2003年,1338.45,940.29,260.8,12.08,0.6,20.93,1056.72,3236.76302015,1898.31,17.8,13.0,,188.74,4291.13,70.6,-114.68,,2004.84,2882.08,4220.53,2589.71,
2004年,1653.03,1150.445132,213.33,15.63,0.66,10.51,1429.19,3570.397547,1917.367547,21.36,24.98,,368.69,4846.592172,63.119493,-83.227828,,2029.28,3130.442679,4783.472679,3269.23,
2005年,1292.18,1261.02,171.73,13.91,0.66,14.39,1106.06,2924.7705,1632.59,14.18,27.52,,427.58,4237.257828,-4.802172,13.527828,,1767.41,2949.88,4242.06,2883.9,
2006年,1100.63171,1480.60506,159.19371,13.14495,0.693726,13.39,928.048,2836.107889,1735.476289,16.34,21.44,,466.87,4371.79,3.458265,-84.1,,1784.65,3267.700025,4368.331735,3138.11,
2007年,702.0328,1759.95,131.48,11.826,1.0,4.9628,565.59,2329.1904,1627.16,30.740322,24.78,,631.36,4158.3924,0.903278,14.9024,,1967.24,3455.456322,4157.489122,2807.61,
2008年,479.348818,1142.77,129.79,9.4608,1.5,2.028818,347.53,2039.47285699,1560.11,37.7,6.25,,1036.42,3242.42064,5.281022,8.26064,,1737.4,2757.7908,3237.139618,2533.18,
2009年,294.05,1250.638723,100.71,12.29904,1.05,0.32,193.02,1521.52960443,1227.48,34.17505,8.10625,,1222.41,2829.33263963,1.537349632,-25.512360368,,1353.355,2533.74529,2827.79529,2723.9,
2010年,1354.84,1326.65240922,201.34,13.528944,1.1403,,123.89,2377.31951946,1022.48,30.757545,8.61694375,1029.61,1419.72,3815.44,57.42382025,2.99,,2536.97,2403.17617975,3758.01617975,2695.2,
2011年,1432.6,1345.2,183.8,16.2,1.3,,60.9,2260.2,827.55,30.6,9.3,1188.0,1685.6,3687.6,24.81,-26.0,,2301.8,2230.2,3662.8,3097.4,
2012年,1610.45,1383.94043193,187.34,19.94,1.9670175,,43.09,2241.69,631.24,27.0537214311,8.69292210047,,1601.514,3690.976,7.68910262995,-63.1,,2253.23,2072.83689737,3683.28689737,3102.36,
2013年,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,
