,原油消费量,天然气消费总量,天然气消费量,柴油消费量,水电、核电、风电消费总量,汽油消费量,焦炭消费量,煤油消费量,煤炭消费总量,煤炭消费量,燃料油消费量,电力消费量,石油消费总量,能源消费总量
1978年,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,
2000年,21232.01,3233.208,245.03,6806.22944468,10728.372,3504.55919775,10840.756,871.61,100670.34,141091.695793,3872.75,13472.38,32332.08,146964.0
2001年,21342.74,3733.128,274.3,7157.968,13065.948,3597.56868315,11931.461,890.27,105771.96,144528.107296,3850.22,14723.46,32975.964,155547.0
2002年,22544.05,3900.271,291.843589744,7666.8581569,13905.314,3749.31780412,12343.616,919.204337252,116160.245,152282.659479,3873.86873868,16465.4486686,35611.17,169577.0
2003年,24922.0019828,4532.909,339.08,8409.43267147,14584.142,4072.02081649,15298.466,921.610477024,138352.266,180587.044054,4220.53302015,19031.5997314,39613.683,197083.0
2004年,28749.31,5296.463,396.721748045,9895.85885159,17501.356,4695.7173298,18067.008466,1060.858962,161657.262,207561.289572,4783.47383853,21971.373311,45825.919,230281.0
2005年,30086.23935,6272.856,467.630638728,10972.1643357,19341.306,4854.91035255,25105.840982,1076.84360987,189231.156,231851.065901,4242.0605,24940.3193523,46523.682,261369.0
2006年,32245.1989894,7734.609,561.410722718,11835.428489,21198.558,5242.54556012,27892.766199,1124.7385143,207402.108,255065.453801,4368.327625,28587.9708535,50131.725,286467.0
2007年,34031.595635,9343.26,705.226662682,12496.6734823,23358.15,5519.09239607,29168.12,1243.71685085,225795.45,272745.87719,4157.48720496,32711.805248,52945.14,311442.0
2008年,35498.2393286,10900.774,812.937593249,13532.5829884,26931.324,6145.5158746,29900.2347484,1294.00864732,229236.865,281095.916335,3237.15365699,34541.3492619,53542.037,320611.0
2009年,38128.59,11764.41,895.2,13756.6434737,28570.71,6172.68505589,31849.9746195,1439.412566,240666.216,295833.079811,2827.8,37032.14,55124.664,336126.0
2010年,42874.55,14425.92,1069.41,14633.8,33900.912,6886.21,33687.8,1744.07,249568.416,312236.5,3758.02,41934.49,62752.752,360648.0
2011年,43965.84,17803.978,1305.3,15635.11,32511.612,7395.95161576,38163.27,1816.71913661,271704.186,342950.24,3662.8,47000.88,65023.224,387043.0
2012年,46678.9206082,19302.624,1463.00328353,16966.05,39007.386,8140.9047867,39373.0356213,1956.60484126,275464.53,352647.073669,3683.29,49762.6407631,68363.46,402138.0
2013年,48652.1506082,22096.389,1705.36880069,17150.6453112,42525.126,9366.35415447,45851.8749019,2164.06610521,280999.362,424425.941022,3953.97174741,54203.406046,71292.123,416913.015607
2014年,,24282.0,,,47712.0,,,,281160.0,,,,72846.0,426000.0
