,国家财政一般公共服务支出,国家财政交通运输支出,国家财政公共安全支出,国家财政其他支出,国家财政农林水事务支出,国家财政医疗卫生支出,国家财政国防支出,国家财政地震灾后恢复重建支出,国家财政城乡社区事务支出,国家财政外交支出,国家财政对外援助支出,国家财政支出,国家财政教育支出,国家财政文化体育与传媒支出,国家财政武装警察支出,国家财政环境保护支出,国家财政社会保障和就业支出,国家财政科学技术支出,国家财政车辆购置税支出
1978年,,,,,,,,,,,,1122.09,,,,,,,
1979年,,,,,,,,,,,,1281.79,,,,,,,
1980年,,,,,,,,,,,,1228.83,,,,,,,
1981年,,,,,,,,,,,,1138.41,,,,,,,
1982年,,,,,,,,,,,,1229.98,,,,,,,
1983年,,,,,,,,,,,,1409.52,,,,,,,
1984年,,,,,,,,,,,,1701.02,,,,,,,
1985年,,,,,,,,,,,,2004.25,,,,,,,
1986年,,,,,,,,,,,,2204.91,,,,,,,
1987年,,,,,,,,,,,,2262.18,,,,,,,
1988年,,,,,,,,,,,,2491.21,,,,,,,
1989年,,,,,,,,,,,,2823.78,,,,,,,
1990年,,,,,,,,,,,,3083.59,,,,,,,
1991年,,,,,,,,,,,,3386.62,,,,,,,
1992年,,,,,,,,,,,,3742.2,,,,,,,
1993年,,,,,,,,,,,,4642.3,,,,,,,
1994年,,,,,,,,,,,,5792.62,,,,,,,
1995年,,,,,,,,,,,,6823.72,,,,,,,
1996年,,,,,,,,,,,,7937.55,,,,,,,
1997年,,,,,,,,,,,,9233.56,,,,,,,
1998年,,,,,,,,,,,,10798.18,,,,,,,
1999年,,,,,,,,,,,,13187.67,,,,,,,
2000年,,,,,,,,,,,,15886.5,,,,,,,
2001年,,,,,,,,,,,,18902.58,,,,,,,
2002年,,,,,,,,,,,,22053.15,,,,,,,
2003年,,,,,,,,,,,,24649.95,,,,,,,
2004年,,,,,,,,,,,,28486.89,,,,,,,
2005年,,,,,,,,,,,,33930.28,,,,,,,
2006年,,,,,,,,,,,,40422.73,,,,,,,
2007年,8514.24,1915.38,3486.16,2951.56,3404.7,1989.96,3554.91,,3244.69,215.28,111.54,49781.35,7122.32,898.64,585.17,995.82,5447.16,2135.7,849.13
2008年,9795.92,2354.0,4059.76,2940.79,4544.01,2757.04,4178.76,798.34,4206.14,240.72,125.59,62592.66,9010.21,1095.74,664.13,1451.36,6804.29,2611.0,1002.74
2009年,9164.21,4647.59,4744.09,3203.25,6720.41,3994.19,4951.1,1174.45,5107.66,250.94,132.96,76299.93,10437.54,1393.07,866.29,1934.04,7606.68,3276.8,1085.08
2010年,9337.16,5488.47,5517.7,2700.38,8129.58,4804.18,5333.37,1132.54,5987.38,269.22,136.14,89874.16,12550.02,1542.7,933.84,2441.98,9130.62,4196.7,1541.82
2011年,10987.78,7497.8,6304.27,2911.24,9937.55,6429.51,6027.91,174.45,7620.55,309.58,159.09,109247.79,16497.33,1893.36,1082.02,2640.98,11109.4,4797.0,2314.6
2012年,12700.46,8196.16,7111.6,2482.38,11973.88,7245.11,6691.92,103.81,9079.12,333.83,,125952.97,21242.1,2268.35,,2963.46,12585.52,4452.63,
2013年,13755.13,9348.82,7786.78,3271.79,13349.55,8279.9,7410.62,42.79,11165.57,355.76,,140212.1,22001.76,2544.39,,3435.15,14490.54,5084.3,
2014年,13267.5,10400.42,8357.23,3254.53,14173.83,10176.81,8289.54,,12959.49,361.54,,151785.56,23041.71,2691.48,,3815.64,15968.85,5314.45,
