,财政支出,财政支出增长速度,财政收入,财政收入增长速度
1978年,1122.09,33.0,1132.26,29.5
1979年,1281.79,14.2,1146.38,1.2
1980年,1228.83,-4.13172204495,1159.93,1.1819815419
1981年,1138.41,-7.5,1175.79,1.4
1982年,1229.98,8.0,1212.33,3.1
1983年,1409.52,14.6,1366.95,12.8
1984年,1701.02,20.7,1642.86,20.2
1985年,2004.25,17.8263630057,2004.82,22.032309509
1986年,2204.91,10.0,2122.01,5.8
1987年,2262.18,2.6,2199.35,3.6
1988年,2491.21,10.1,2357.24,7.2
1989年,2823.78,13.3,2664.9,13.1
1990年,3083.59,9.20078759677,2937.1,10.2142669519
1991年,3386.62,9.8271819535,3149.48,7.23094208573
1992年,3742.2,10.4995541277,3483.37,10.6014326174
1993年,4642.3,24.0526962749,4348.95,24.8489250352
1994年,5792.62,24.7790965685,5218.1,19.9852838041
1995年,6823.72,17.800235472,6242.2,19.6259174795
1996年,7937.55,16.3229147738,7407.99,18.6759475826
1997年,9233.56,16.3275821885,8651.14,16.7812051582
1998年,10798.18,16.9449269837,9875.95,14.1577872974
1999年,13187.67,22.1286364924,11444.08,15.8782699386
2000年,15886.5,20.4647977998,13395.23,17.0494264283
2001年,18902.58,18.9851760929,16386.04,22.3274255089
2002年,22053.15,16.6674073063,18903.64,15.3642979024
2003年,24649.95,11.7751885785,21715.25,14.8733788836
2004年,28486.89,15.6,26396.47,21.6
2005年,33930.28,19.1084039009,31649.29,19.8997062865
2006年,40422.73,19.1346785231,38760.2,22.4678341915
2007年,49781.35,23.2,51321.78,32.4
2008年,62592.66,25.7,61330.35,19.5
2009年,76299.93,21.8991651737,68518.3,11.7200537744
2010年,89874.16,17.8,83101.51,21.3
2011年,109247.79,21.6,103874.43,25.0
2012年,125952.97,15.3,117253.52,12.9
2013年,140212.1,11.3,129209.64,10.2
2014年,151785.56,8.3,140370.03,8.6
