,原生钛铁矿储量,天然气储量,普通萤石储量,滑石储量,煤炭储量,玻璃硅质原料储量,盐矿储量,石墨储量,石油储量,硫铁矿储量,磷矿储量,稀土矿储量,芒硝储量,菱镁矿储量,重晶石储量,金矿储量,钒矿储量,钨矿储量,钼矿储量,钾盐储量,铁矿储量,铅矿储量,铜矿储量,铝土矿储量,铬矿储量,银矿储量,锌矿储量,锑矿储量,锡矿储量,锰矿储量,镍矿储量,高岭土储量
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,20169.01,3138.07,9570.2,3317.61,108402.0,1862.07,5243.0,242492.6,210740.4,40.53751,2151.96,98.11,140393.4,10132.0,1983.7,,292.49,330.17,27543.0,213.57,1251.07,2966.89,71557.3,567.5,34177.0,3756.03,89.48,167.15,20142.3,299.81,54921.6
2003年,,22288.74,3052.9,9447.6,3342.03,117003.3,1866.35,5235.4,243193.6,196018.2,39.0177,2099.3,98.9,150149.8,9852.1,1981.0,,286.6,345.5,27323.2,212.38,1248.0,3003.0,69453.7,549.8,38214.0,3762.5,87.5,178.6,20709.0,293.7,54644.7
2004年,21385.0396,25292.55,2834.957,9387.039,3373.42,124280.0,1828.713315,5277.4,249097.9,194987.881,38.939334,2093.604951,70.10481,149660.425,9838.96,2075.073,1304.8967,291.6306,263.141671,27228.87,217.6,1314.737003,2929.0204,72069.003,537.13,37430.06,4151.492251,84.105711,176.7688,29658.52,278.31612,55272.01
2005年,21410.39,28185.39,2536.8,10995.21,3326.35,138177.63,1816.56,3881.74,248972.11,190328.15,36.97,1968.45,64.31,173831.33,9677.09,1956.64,1323.53,260.46,363.42,28891.56,216.04,1393.44,2856.44,73057.83,520.96,59791.0,4269.14,95.33,155.45,21539.85,270.69,60225.89
2006年,21379.5,30009.24,3477.42,11706.28,3334.8,139865.3,1833.03,5394.89,275856.75,184900.53,36.96,1905.85,98.06,189714.1,9838.6,1995.02,1404.38,241.43,381.01,27314.86,220.92,1351.39,3069.88,74166.99,521.44,45277.0,4227.14,95.03,153.5,22855.78,272.72,63567.72
2007年,22541.9,32123.63,3401.48,11834.26,3261.26,141047.5,1880.05,5480.59,283253.77,179411.29,36.73,1837.05,100.27,193160.96,9899.89,1859.74,1309.43,240.87,431.68,33752.04,223.64,1345.88,2932.11,75072.71,582.22,43942.0,4250.26,94.99,152.25,22443.72,299.16,65261.87
