,人工林面积,林业用地面积,森林蓄积量,森林覆盖率,森林面积,活立木总蓄积量
1978年,,,,,,
1979年,,,,,,
1980年,,,,,,
1981年,,,,,,
1982年,,,,,,
1983年,,,,,,
1984年,,,,,,
1985年,,,,,,
1986年,,,,,,
1987年,,,,,,
1988年,,,,,,
1989年,,,,,,
1990年,,,,,,
1991年,,,,,,
1992年,,,,,,
1993年,,,,,,
1994年,,,,,,
1995年,,,,,,
1996年,,,,,,
1997年,,,,,,
1998年,,,,,,
1999年,,,,,,
2000年,,,,,,
2001年,,,,,,
2002年,,,,,,
2003年,,,,,,
2004年,5364.99,28492.56,124.558458,18.21,17490.92,136.181
2005年,5364.99,28492.56,124.558458,18.21,17490.92,136.181
2006年,5364.99,28492.56,124.558458,18.21,17490.92,136.181
2007年,5364.99,28492.56,124.558458,18.21,17491.0,136.181
2008年,5364.99,28492.56,124.558458,20.36,19545.0,136.181
2009年,6933.38,31259.0,151.372972,21.63,20769.0,164.328062
2010年,6933.38,31259.0,151.372972,21.63,20769.0,164.328062
2011年,6933.38,31259.0,151.372972,21.63,20768.73,164.328062
2012年,6933.38,31259.0,151.372972,21.63,20769.0,164.328062
2013年,6933.38,31259.0,151.372972,21.63,20769.0,164.328062
2014年,6933.38,31259.0,151.372972,21.63,20768.73,164.328062
