,人均水资源量,地下水资源量,地表水与地下水资源重复量,地表水资源量,水资源总量
1978年,,,,,
1979年,,,,,
1980年,,,,,
1981年,,,,,
1982年,,,,,
1983年,,,,,
1984年,,,,,
1985年,,,,,
1986年,,,,,
1987年,,,,,
1988年,,,,,
1989年,,,,,
1990年,,,,,
1991年,,,,,
1992年,,,,,
1993年,,,,,
1994年,,,,,
1995年,,,,,
1996年,,,,,
1997年,,,,,
1998年,,,,,
1999年,,,,,
2000年,,,,,
2001年,,,,,
2002年,,,,,
2003年,,,,,
2004年,1856.29,7436.3,6433.1,23126.4,24129.56
2005年,2151.8,8091.12,7020.4,26982.37,28053.1
2006年,1932.09427367,7642.91287581,6670.82168672,24358.0511576,25330.1423466
2007年,1916.33987773,7617.17362975,6604.48748508,24242.4696529,25255.1557976
2008年,2071.05246272,8122.0,7064.7,26377.0,27434.3
2009年,1816.17577763,7267.03424389,6212.07027,23125.213605,24180.2010682
2010年,2310.40523867,8417.04784382,7308.24545537,29797.6220653,30906.4063979
2011年,1730.2,7214.5,6171.4,22213.6,23256.7
2012年,2186.0507535,8416.1153537,7260.63831499,28371.3522591,29526.878225
2013年,2059.69274488,8081.1140385,6962.7478904,26839.4743757,27957.8573804
2014年,1998.64396344,7745.03124505,6742.04304009,26263.911795,27266.9
