,民用机动船净载重量,民用机动船拖船功率,民用机动船载客量,民用机动运输船数,民用驳船净载重量,民用驳船载客量,民用驳船运输船数
1978年,11724826.0,0.0,439041.0,28340.0,4200355.0,102316.0,74484.0
1979年,12549315.0,0.0,445997.0,28530.0,4516188.0,96612.0,74971.0
1980年,12207808.0,914704.0,455454.0,29588.0,4743905.0,89584.0,71604.0
1981年,12603721.0,0.0,474521.0,31259.0,4976102.0,94117.0,71238.0
1982年,12920325.0,0.0,495015.0,34351.0,5281590.0,101225.0,71964.0
1983年,13243487.0,0.0,496446.0,38028.0,5641607.0,95328.0,70661.0
1984年,13851964.0,0.0,510346.0,40127.0,5990779.0,82356.0,66357.0
1985年,20898230.0,1666163.0,877963.0,260296.0,8670224.0,99643.0,132682.0
1986年,21896214.0,0.0,999223.0,287567.0,8860487.0,109714.0,111850.0
1987年,24356898.0,1895839.0,1076389.0,319563.0,8483471.0,88800.0,119673.0
1988年,25902613.0,1626481.0,1000286.0,352478.0,8695906.0,58226.0,93678.0
1989年,27290103.0,1759366.0,1095018.0,351450.0,8958617.0,52459.0,88903.0
1990年,29090082.0,1750351.0,1138937.0,325888.0,9066738.0,62926.0,82482.0
1991年,29412777.0,1648531.0,1079318.0,303314.0,8894730.0,51119.0,75664.0
1992年,31225749.0,1844101.0,1177035.0,302313.0,9437763.0,46337.0,71255.0
1993年,34682035.0,1734606.0,1124114.0,307285.0,8891435.0,43801.0,65196.0
1994年,39599014.0,1678066.0,1065140.0,293473.0,8898065.0,25215.0,59913.0
1995年,40940087.0,1707115.0,979985.0,299717.0,9449652.0,17722.0,57998.0
1996年,39774235.0,1616594.0,988046.0,269879.0,9315335.0,15148.0,56128.0
1997年,38749289.0,1468612.0,1022970.0,215814.0,9064891.0,13879.0,49983.0
1998年,38896576.0,1584601.0,983630.0,212093.0,9019417.0,14914.0,48115.0
1999年,38911462.0,1494500.0,929138.0,194590.0,8981998.0,10306.0,47453.0
2000年,42640605.0,1439743.0,1014013.0,185018.0,8640504.0,18258.0,44658.0
2001年,45526726.0,1370221.0,1048915.0,169329.0,8968670.0,27902.0,41457.0
2002年,48372587.0,1433547.0,945387.0,165936.0,8683075.0,33405.0,37041.0
2003年,60745234.0,1269607.0,971514.0,163813.0,9871079.0,30631.0,40457.0
2004年,75114059.0,1197191.0,961562.0,166854.0,11058522.0,34666.0,43846.0
2005年,90756392.0,1480381.0,977846.0,165900.0,11030057.0,33496.0,41394.0
2006年,98241489.0,1538957.0,1025861.0,157805.0,12015595.0,33355.0,36555.0
2007年,106441173.0,1520924.0,1004546.0,157544.0,12373412.0,22316.0,34227.0
2008年,111047702.0,1564439.0,994495.0,152247.0,13121439.0,14050.0,31943.0
2009年,133384848.0,1120381.0,979384.0,149367.0,12702991.0,2166.0,27565.0
2010年,168985654.0,1410719.0,1001395.0,155624.0,11422911.0,2260.0,22783.0
2011年,202602789.0,1600896.0,1004622.0,157950.0,10040453.0,3768.0,21292.0
2012年,218793742.0,1531873.0,1021260.0,158309.0,9692502.0,3798.0,20282.0
2013年,234317614.0,1235661.0,1031711.0,155340.0,9692720.0,1287.0,17214.0
2014年,247399826.0,1424950.0,1030973.0,154974.0,10452402.0,1334.0,17003.0
