,主要港口主要货物进港量,主要港口其他货物进港量,主要港口化肥和农药进港量,主要港口木材进港量,主要港口水泥进港量,主要港口煤炭及制品进港量,主要港口盐进港量,主要港口石油、天然气及制品进港量,主要港口矿建材料进港量,主要港口粮食进港量,主要港口金属矿石进港量,主要港口钢铁进港量,主要港口非金属矿石进港量
1978年,0,0,0,0,0,0,0,0,0,0,0,0,0
1979年,10889,914,478,154,164,2233,372,1821,824,1396,1076,1282,175
1980年,10677,1059,506,281,126,2212,332,1863,661,1512,1044,855,226
1981年,10463,1085,534,299,110,2388,302,1777,789,1677,600,699,203
1982年,11362,1126,561,518,169,2710,320,1737,862,1769,616,746,228
1983年,12485,1182,711,642,229,2789,324,1805,1025,1524,676,1331,247
1984年,13612,1192,917,748,200,3056,274,1881,1232,1278,920,1648,266
1985年,15281,1620,723,901,210,3359,306,2065,1155,832,1352,2568,190
1986年,18424,1930,616,662,322,4519,428,2583,1619,1200,1657,2549,339
1987年,19458,2083,1246,681,210,4823,401,2582,1646,2063,1637,1681,405
1988年,21743,2795,1613,979,232,5579,413,2719,1843,2134,1580,1358,498
1989年,23506,2701,1525,548,215,6741,475,2988,2071,2277,1895,1353,718
1990年,22311,2526,1671,440,158,6809,411,2920,1743,1864,2255,904,608
1991年,24470,2903,1800,519,261,6785,391,3540,1833,1888,2974,887,689
1992年,28872,3565,1688,588,408,8044,375,4318,2173,1928,3472,1554,759
1993年,34379,3774,995,602,877,8484,375,5615,2658,1480,4400,4368,752
1994年,37424,5151,1418,501,1149,8695,322,5716,3417,1782,5485,3034,754
1995年,40900,6830,1883,425,569,8811,313,6338,3901,2920,6201,1923,786
1996年,43995,8220,1673,403,435,9495,256,8217,3869,2143,6272,2212,800
1997年,45684,9603,1729,421,328,8841,241,9344,3636,1735,7244,1793,769
1998年,46667,11568,1400,418,363,8835,228,8190,3993,1816,7240,1900,716
1999年,53747,14493,1324,530,432,9589,223,10426,4152,2001,7626,2243,707
2000年,64013,16056,1289,589,511,11895,273,14136,4410,2688,8734,2573,859
2001年,73440,19247,1177,645,768,13067,314,14296,5837,3033,11043,3139,874
2002年,86891,24076,1610,740,797,15219,415,15190,7461,2599,13955,3691,1138
2003年,104782,29148,1247,855,1062,16395,428,18313,8992,3589,18564,4988,1201
2004年,130198,36317,1243,826,1466,20717,436,22125,11922,4369,24099,5365,1313
2005年,156692,45048,1357,905,1265,23359,662,24241,15248,5007,32296,5588,1716
2006年,182829,55886,1034,902,1396,26254,550,26259,17373,5076,39491,5788,2820
2007年,205700,66922,1084,961,1689,30889,528,27393,15242,5127,45389,6586,3890
2008年,231587,75523,627,858,1946,33431,543,29591,20107,5836,53224,6392,3509
2009年,273208,82281,559,1637,1735,42354,354,33995,20674,6877,71349,7969,3423
2010年,310580,93867,629,2671,2199,52402,564,39827,22175,8468,74522,8537,4718
2011年,346131,104616,782,3686,3279,61221,635,42782,24390,7918,82029,8834,5958
2012年,381170,119680,750,4077,3389,63803,676,43506,30973,9598,89869,9168,5681
2013年,416111,130581,776,4469,3941,69059,847,44905,32987,10448,100802,9777,7519
2014年,434904,140504,1066,4627,4618,65221,879,47018,35364,11187,107961,9870,6589
