,一级等级公路里程,二级等级公路里程,公路里程,内河航道里程,国家铁路电气化里程,国际航线线路长度,定期航班航线里程,等外公路公路里程,等级公路里程,管道输油(气)里程,铁路营业里程,高速等级路公路里程
1978年,,,89.02,13.6,0.1,55300.0,148900.0,,,0.83,5.17,
1979年,0.0188,1.1579,87.58,10.78,0.1,51300.0,160000.0,36.935,50.6444,0.91,5.3,
1980年,0.0196,1.2587,88.825,10.85,0.17,81200.0,195300.0,36.7116,52.1134,0.87,5.33,
1981年,0.0203,1.4434,89.75,10.87,0.17,82800.0,218200.0,36.0792,53.667,0.97,5.39,
1982年,0.0231,1.5665,90.7,10.86,0.18,99900.0,232700.0,35.6669,55.0294,1.04,5.3317,
1983年,0.0255,1.7167,91.51,10.89,0.23,99900.0,229100.0,35.2264,56.2815,1.08,5.4597,
1984年,0.0328,1.8693,92.67,10.93,0.3,107400.0,260200.0,34.6365,58.0381,1.1,5.4764,
1985年,0.0422,2.1194,94.24,10.91,0.4151,106000.0,277200.0,33.5952,60.6443,1.17,5.522,
1986年,0.0748,2.3762,96.28,10.94,0.44,107600.0,323100.0,32.5059,63.771,1.3,5.5818,
1987年,0.1341,2.7999,98.22,10.98,0.46,148900.0,389100.0,31.3853,66.839,1.38,5.5976,
1988年,0.1673,3.2949,99.96,10.94,0.57,128300.0,373800.0,30.2282,69.7271,1.43,5.6236,0.01
1989年,0.2101,3.8101,101.43,10.9,0.64,166400.0,471900.0,29.8419,71.5923,1.51,5.6996,0.03
1990年,0.2617,4.3376,102.8348,10.9192,0.6941,166350.0,506762.0,28.7244,74.1104,1.59,5.7899,0.05
1991年,0.2897,4.7729,104.11,10.97,0.78,177400.0,559100.0,27.6468,76.4668,1.62,5.78,0.06
1992年,0.3575,5.4776,105.67,10.97,0.84,303000.0,836600.0,26.9772,78.6935,1.59,5.81,0.07
1993年,0.4633,6.3316,108.35,11.02,0.89,278700.0,960800.0,26.1343,82.2133,1.64,5.86,0.11
1994年,0.6334,7.2389,111.78,11.0238,0.9,351900.0,1045600.0,25.6421,86.14,1.68,5.9,0.16
1995年,0.958,8.491,115.7,11.06,0.97,348200.0,1129000.0,24.6255,91.0754,1.72,6.2389,0.21
1996年,1.1779,9.699,118.58,11.08,1.01,386300.0,1166500.0,23.9371,94.8068,1.93,6.49,0.34
1997年,1.4637,11.1564,122.64,10.98,1.2,504400.0,1425000.0,22.8909,99.7496,2.04,6.6,0.48
1998年,1.5277,12.5245,127.85,11.03,1.3,504400.0,1505800.0,20.9231,106.9243,2.31,6.64,0.87
1999年,1.7716,13.9957,135.17,11.65,1.4,523300.0,1522200.0,19.4955,115.6736,2.49,6.74,1.16
2000年,2.0088,15.2672,167.9848,11.9325,1.48639,508405.0,1502887.0,18.6685,131.5931,2.465,6.87,1.63
2001年,2.5214,18.2102,169.8,12.15,1.68766,516859.0,1553596.0,36.1968,133.6044,2.7555,7.0058,1.94
2002年,2.7468,19.7143,176.52,12.16,1.74,574500.0,1637700.0,38.2296,138.2926,2.98,7.19,2.51
2003年,2.9903,21.1929,180.98,12.4,1.81,715300.0,1749500.0,37.109,143.8738,3.26,7.3,2.97
2004年,3.3522,23.1715,187.07,12.33,1.86,894200.0,2049394.0,35.4835,151.5826,3.82,7.44,3.43
2005年,3.8381,24.6442,334.52,12.33,1.94082,855932.0,1998501.0,33.8752,159.1791,4.4,7.54376,4.1
2006年,4.5289,26.2678,345.6999,12.338827,2.34354,966168.0,2113505.0,117.4128,228.2872,4.81280839,7.70838,4.5339
2007年,5.0093,27.6413,358.3715,12.349518,2.4046625,1047418.0,2342961.0,104.8332,253.5383,5.44603199,7.7965903,5.3913
2008年,5.4216,28.5226,373.0164,12.276349,2.5007315,1120166.0,2461840.0,95.1642,277.8521,5.83498409,7.9687282,6.0302
2009年,5.9462,30.0686,386.0823,12.3683,3.02427,919899.0,2345085.0,80.4558,305.6265,6.90607729,8.5517886,6.5055
2010年,6.443,30.8743,400.8229,12.424178,3.2717228,1070167.0,2765147.0,70.352,330.4709,7.84974869,9.1178479,7.4113
2011年,6.8119,32.0536,410.6387,12.4612,3.4330439,1494387.0,3490571.0,65.2796,345.359,8.3302,9.3249643,8.4946
2012年,7.4271,33.1455,423.7508,12.499463,3.5486468,1284712.0,3280114.0,62.7908,360.96,9.16043906555,9.7625484,9.62
2013年,7.9491,34.0466,435.6218435,12.585297,3.5977248,1503150.0,4106000.0,60.0652,375.5567,9.8464387,10.3144637,10.4438003
2014年,8.5362,34.8351,446.3913,12.628002,3.6851383,1767210.0,4637214.0,56.3079,390.0834,10.5688216,11.1821116,11.1936
