,金融机构人民币信贷资金运用,金融机构资金运用各项贷款,金融机构资金运用各项贷款中中长期贷款,金融机构资金运用各项贷款中各项垫款,金融机构资金运用各项贷款中短期贷款,金融机构资金运用各项贷款中票据融资,金融机构资金运用各项贷款中融资租赁,金融机构资金运用各项贷款境内贷款,金融机构资金运用各项贷款境外贷款,金融机构资金运用在国际金融机构资产,金融机构资金运用外汇占款,金融机构资金运用有价证券及投资,金融机构资金运用股权及其他投资,金融机构资金运用黄金占款
1978年,1930.57,1890.42,0.0,0.0,1734.48,0.0,0.0,0.0,0.0,0.0,14.3,0.0,0.0,12.2
1979年,2127.77,2082.47,7.9,0.0,1902.89,0.0,0.0,0.0,0.0,0.0,20.58,0.0,0.0,12.2
1980年,2684.14,2478.08,47.51,0.0,2180.9,0.0,0.0,0.0,0.0,36.0,-8.34,0.0,0.0,12.2
1981年,3157.09,2853.29,83.74,0.0,2488.56,0.0,0.0,0.0,0.0,38.7,89.6,0.0,0.0,12.0
1982年,3629.7,3162.7,151.98,0.0,2687.84,0.0,0.0,0.0,0.0,37.9,217.7,0.0,0.0,12.0
1983年,4141.29,3566.56,192.09,0.0,2995.56,0.0,0.0,0.0,0.0,57.3,266.1,0.0,0.0,12.0
1984年,5443.91,4746.8,294.03,0.0,3763.04,0.0,0.0,0.0,0.0,67.9,263.6,0.0,0.0,12.0
1985年,6767.14,6198.38,686.25,0.0,4554.19,0.0,0.0,0.0,0.0,88.7,93.1,0.0,0.0,12.0
1986年,8823.64,8142.72,975.97,0.0,5650.99,0.0,0.0,0.0,0.0,100.4,38.1,0.0,0.0,12.0
1987年,10713.3,9814.09,1221.61,0.0,6669.55,0.0,0.0,0.0,0.0,178.8,132.1,0.0,0.0,12.0
1988年,13111.22,11964.25,1558.2,0.0,8026.14,0.0,0.0,0.0,0.0,187.1,158.4,0.0,0.0,12.0
1989年,15673.12,14248.81,1780.18,0.0,10178.55,0.0,0.0,0.0,0.0,191.6,264.5,16.9,0.0,12.0
1990年,19489.56,17511.02,2214.89,0.0,12480.42,0.0,0.0,0.0,0.0,259.0,599.4,259.06,0.0,12.0
1991年,24079.84,21116.39,3046.15,0.0,14624.69,0.0,0.0,0.0,0.0,262.0,1228.1,430.41,0.0,12.0
1992年,29159.18,25742.81,3924.02,0.0,17258.08,0.0,0.0,0.0,0.0,298.4,1102.0,845.97,0.0,12.0
1993年,37390.75,32955.83,5197.21,0.0,21370.61,0.0,0.0,0.0,0.0,336.8,1431.8,863.09,0.0,12.0
1994年,49240.46,39975.09,7774.92,0.0,26948.7,0.0,0.0,0.0,0.0,392.7,4503.9,2462.42,0.0,12.0
1995年,63925.22,50544.09,10699.32,0.0,33371.97,0.0,0.0,0.0,0.0,555.1,6774.45,4215.72,0.0,12.0
1996年,78704.87,61156.55,12672.59,0.0,40210.01,0.0,0.0,0.0,0.0,541.4,9578.68,5644.85,0.0,12.0
1997年,96526.87,74914.07,15468.65,0.0,55418.27,0.0,0.0,0.0,0.0,534.4,13467.2,3671.74,0.0,12.04
1998年,112396.28,86524.13,20717.78,0.0,60613.22,0.0,0.0,0.0,0.0,461.8,13728.28,8112.24,0.0,12.04
1999年,123230.6,93734.28,23968.3,0.0,63887.55,0.0,0.0,0.0,0.0,604.1,14792.4,12505.79,0.0,12.0
2000年,133325.32,99371.07,27931.19,0.0,65748.07,0.0,0.0,0.0,0.0,576.3,14291.14,19651.07,0.0,12.04
2001年,153539.78,112314.7,39238.08,0.0,67327.23,0.0,0.0,0.0,0.0,754.22,17856.43,22112.65,0.0,256.0
2002年,184024.52,131293.93,48642.04,0.0,74247.9,0.0,0.0,0.0,0.0,798.22,23223.34,26789.73,0.0,337.24
2003年,225313.26,158996.23,63401.4,0.0,83661.15,0.0,0.0,0.0,0.0,873.4,34846.92,30259.47,0.0,337.24
2004年,261910.799781,177363.49,76707.37,0.0,86836.83,0.0,0.0,0.0,0.0,682.9,52592.64,30934.53,0.0,337.24
2005年,302042.8,194690.39,87460.42,0.0,87449.16,0.0,0.0,0.0,0.0,861.96,71211.12,34942.13,0.0,337.24
2006年,365168.25,225285.28,106512.4,0.0,98509.53,0.0,0.0,0.0,0.0,1074.59,98980.27,39490.87,0.0,337.24
2007年,454267.97,261690.88,131539.08,0.0,114477.91,0.0,0.0,0.0,0.0,1072.57,128377.32,62789.96,0.0,337.24
2008年,538405.59,303394.64,154999.79,0.0,125181.65,0.0,0.0,0.0,0.0,940.73,168431.11,65301.87,0.0,337.24
2009年,681874.78,399684.82,222418.76,0.0,146611.31,0.0,0.0,0.0,0.0,1764.51,193112.47,86643.15,0.0,669.84
2010年,805879.09,479195.55,288930.43,134.554773978,166233.38,14814.5204115,2700.99237454,478976.466622,219.081399003,1692.5,225795.14,98526.06,0.0,669.84
2011年,913226.330147,547946.690599,323806.516321,182.962829908,203132.624332,15124.4533031,4151.69546264,546398.252248,1548.43835089,1718.67,253587.011036,96479.3941406,12824.724372,669.84
2012年,1024067.49,629909.64,352907.42,556.13,248272.76,20433.24,5930.98,628100.53,1809.0,1640.6,258533.48,111680.87,21633.05,669.84
2013年,1174666.17327,718961.456954,398862.409064,732.630785022,290237.819048,19594.0035106,7660.83177175,717087.69418,1873.76277383,1579.87,286303.827427,125399.384266,41751.7946262,669.84
2014年,1323453.02793,816770.010017,459482.069764,1634.32287261,314795.707601,29169.4122912,9698.82069715,814780.333226,1989.67679118,1516.37,294090.464333,144954.218435,65452.1251416,669.84
